,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDENTIFICACIÓN,IDENTIFICACIÓN,IDENTIFICACIÓN,CLASIFICACIÓN,CLASIFICACIÓN,CLASIFICACIÓN,CLASIFICACIÓN,TEMPORALIDAD,TEMPORALIDAD,ESTADO,ESTADO,ESTADO,DESCRIPCIÓN,DESCRIPCIÓN,DESCRIPCIÓN,INDICADORES,INDICADORES,INDICADORES,INDICADORES,INDICADORES,INDICADORES,INDICADORES,INDICADORES,INDICADORES,INDICADORES,CONDICIONES,CONDICIONES,CONDICIONES,FILTROS NUM,FILTROS NUM,FILTROS NUM,FILTROS NUM,FILTROS NUM,FILTROS NUM,FILTROS NUM,GESTIÓN RIESGO,GESTIÓN RIESGO,GESTIÓN RIESGO,GESTIÓN RIESGO,GESTIÓN RIESGO,GESTIÓN RIESGO,METADATOS,METADATOS,METADATOS,METADATOS,METADATOS
SCN-20260701-010,ST-10 Swing 2 Semanas Estructura,1.0,TREND_FOLLOWING,ACCIONES_US,BREAKOUT,LONG,1W,1D,EN_PRUEBAS,MEDIA,IA_ASISTIDA,Setup de 2 semanas basado en ruptura de base semanal con fundamentales sólidos y RSI en zona correcta.,Capturar movimientos estructurales de 2-3 semanas con base técnica sólida y contexto fundamental positivo.,Rupturas de bases semanales con EPS creciente y RSI<65 tienen alta probabilidad de continuación 2-3 semanas.,"EMA20,EMA50,RSI,RVOL","MACD,OBV,ATR",NO,SI,SI,SI,SI,SI,SI,SI,1W: tendencia_alcista_EMA20W>EMA50W(+20pts) + base_semanal_4-8_velas(+15pts) + ruptura_maximo_semanal_con_volumen(+20pts) | 1D: RSI_1D[50-65](+15pts) + distancia_max52W<15pct(+15pts) + EPS_creciente_3T(+15pts) | SCORE>=80,Target 1: extension_1x_base_semanal | Target 2: maximo_52_semanas | Stop: minimo_base_semanal,sector_en_downtrend → reducir_tamaño | fundamentales_negativos_EPS_decreciente → descarte,15.0,500.0,1000000.0,0.8,4.0,2026-05-01 00:00:00,"TECNOLOGIA,SALUD,INDUSTRIALES,FINANZAS",NIVEL,EXTENSION,1.0,2026-05-02 00:00:00,MEDIO_1-4W,BAJO,2026-07-01 00:00:00,2026-07-01 00:00:00,JJB,"TRADINGVIEW,YAHOO_FINANCE,FMP",Incorpora fundamentales. FMP API para EPS y márgenes.
SCN-20260701-011,ST-11 Proximidad Máximo 52W,1.0,BREAKOUT,ACCIONES_US,BREAKOUT,LONG,1W,1D,EN_PRUEBAS,ALTA,IA_ASISTIDA,Activos dentro del 5% de su máximo anual o superándolo con volumen. Patrón O'Neil validado históricamente.,Detectar activos en nuevos máximos o en ruptura de ATH con estructura técnica y fundamental sólida.,Los activos en nuevos máximos de 52W tienden a seguir subiendo. El momentum es el factor predictivo más fuerte históricamente.,"PRECIO_MAX_52W,RVOL,EMA20","RSI,MACD,OBV",NO,SI,SI,SI,SI,SI,NO,SI,precio_dentro_5pct_max52W(+20pts) + nuevo_max_52W_con_volumen(+25pts) + base_previa_min_6_semanas(+15pts) + EPS_creciente_3T(+15pts) + RSI_semanal<75(+15pts) + sector_alcista(+10pts) | SCORE>=80,Target: extension_fibonacci_1.272 y 1.618 desde base | Stop: minimo_base_previa,sin_base_previa_6W → no_operar (persecución) | RSI_semanal>80 → esperar_pullback,15.0,500.0,1000000.0,0.8,5.0,2026-05-01 00:00:00,TODOS,NIVEL,FIBONACCI,1.0,3.0,MEDIO_1-4W,MEDIO,2026-07-01 00:00:00,2026-07-01 00:00:00,JJB,"TRADINGVIEW,YAHOO_FINANCE,FMP",Basado en metodología CANSLIM de William O'Neil. Históricamente uno de los factores predictivos más potentes.
SCN-20260701-012,ST-12 Earnings Pre-Evento,1.0,SWING,ACCIONES_US,EARNINGS,LONG,1D,1W,PENDIENTE,MEDIA,IA_ASISTIDA,Setups pre-earnings con acumulación institucional visible (RVOL creciente + estructura base) 1-5 días antes.,Capturar movimiento pre-earnings basado en acumulación institucional antes del evento.,El institucional posiciona antes de earnings positivos. RVOL creciendo días previos + base técnica = señal de acumulación.,"RVOL,EMA20,RSI","OBV,MACD,ATR",NO,SI,SI,NO,SI,SI,SI,SI,earnings_en_1-5_dias(+10pts) + EPS_creciente_2T(+15pts) + tendencia_alcista_precio>EMA20_1D(+15pts) + estructura_base_no_extendida(+20pts) + RVOL_creciente_dias_previos(+20pts) + RSI<70(+10pts) + calls_puts_ratio>1.5(+10pts) | SCORE>=75,CERRAR_ANTES_EARNINGS (no aguantar el evento) | Target: resistencia_previa | Stop: minimo_base_previa,precio_>15pct_sobre_base → no_operar | gap_ya_formado → no_perseguir | sector_negativo → reducir,10.0,300.0,1000000.0,0.8,5.0,2026-05-01 00:00:00,"TECNOLOGIA,SALUD,FINANZAS",NIVEL,RESISTENCIA,0.5,2.0,CORTO_5-30m,ALTO,2026-07-01 00:00:00,2026-07-01 00:00:00,JJB,"TRADINGVIEW,FMP,YAHOO_FINANCE",IMPORTANTE: cerrar siempre antes del evento. No aguantar earnings nunca con este scanner.
SCN-20260701-013,ST-13 Gap Down Reversión Soporte,1.0,MEAN_REVERSION,ACCIONES_US,REVERSAL,LONG,1D,1H,PENDIENTE,BAJA,SIN_IA,Gap bajista que abre exactamente en zona de soporte fuerte con rebote confirmado. Solo fundamentales sólidos.,Capturar reversión de gap down cuando el precio llega a soporte estructural con volumen de compra.,Gap down en soporte fuerte con fundamentales sólidos atrae compradores institucionales que aprovechan el descuento.,"EMA200,VWAP,RSI,RVOL","OBV,MACD,ATR",SI,SI,SI,SI,SI,SI,SI,SI,gap_bajista_en_soporte_fuerte + soporte_testado_min_2_veces + RSI_1D<35 + OBV_no_bajista + vela_reversal_1H_con_volumen + fundamentales_EPS_positivo,Target: precio_pre_gap | Stop: minimo_del_dia,gap_por_noticias_fundamentales_negativas → NO_OPERAR | gap_en_downtrend → NO_OPERAR,15.0,300.0,1500000.0,1.0,6.0,2026-05-01 00:00:00,"TECNOLOGIA,SALUD",NIVEL,NIVEL,0.5,2.0,INTRADAY_30m-4h,MUY_ALTO,2026-07-01 00:00:00,2026-07-01 00:00:00,JJB,"TRADINGVIEW,YAHOO_FINANCE",Solo con fundamentales verificados. Nunca en gap por noticias negativas estructurales.
SCN-20260701-014,ST-14 Sector Rotation Líder,1.0,TREND_FOLLOWING,ACCIONES_US,TECHNICAL,LONG,1W,1D,PENDIENTE,MEDIA,IA_ASISTIDA,Detecta inicio de rotación sectorial y entra en el líder del sector con mejor RS (Relative Strength).,Posicionarse en el líder del sector que recibe flujos institucionales durante rotación de mercado.,Los flujos institucionales rotan sectorialmente. El líder del sector que recibe flujos es el mejor candidato.,"EMA20,EMA50,MACD,ADX","RVOL,RSI,OBV",NO,SI,SI,SI,SI,SI,SI,SI,ETF_sectorial_rompiendo_resistencia + lider_sector_con_RS>sector + ADX_sector>20_creciendo + volumen_ETF_sectorial>media_20D + MACD_1D_positivo + RSI_1D[50-65],Target: extension_tendencia_sector | Stop: minimo_sesion_entrada | Salir_si_ETF_sector_gira_bajista,mercado_broad_risk_off → reducir_tamaño | sector_en_downtrend_largo → no_operar,15.0,500.0,1000000.0,0.8,4.0,2026-05-01 00:00:00,TODOS,NIVEL,EXTENSION,1.0,2026-05-02 00:00:00,MEDIO_1-4W,MEDIO,2026-07-01 00:00:00,2026-07-01 00:00:00,JJB,"TRADINGVIEW,YAHOO_FINANCE","Requiere monitoreo de ETFs sectoriales (XLK,XLV,XLF,XLI,XLE). Añadir a watchlist."
SCN-20260701-015,ST-15 ADX Breakout Fuerza Pura,1.0,BREAKOUT,ACCIONES_US,BREAKOUT,LONG,1D,4H,EN_PRUEBAS,ALTA,IA_ASISTIDA,ADX cruzando 25 al alza mientras precio rompe resistencia. Indica inicio de tendencia con fuerza real.,Capturar inicio de tendencia cuando ADX confirma que el movimiento tiene fuerza institucional real.,ADX<20 = lateral. ADX cruzando 25 = tendencia iniciando. Si coincide con ruptura de resistencia = confluencia potente.,"ADX,DI_PLUS,DI_MINUS,RVOL","EMA20,RSI,MACD",NO,SI,SI,NO,SI,SI,SI,SI,ADX_14_cruzando_25_alcista(+25pts) + DI_plus>DI_minus(+15pts) + precio_rompiendo_resistencia_20_sesiones(+20pts) + RVOL>1.8(+15pts) + EMA20_1D_inclinada_10D(+15pts) + RSI[55-70](+10pts) | SCORE>=80,Target: extension_1.5x_rango_previo | Stop: minimo_vela_breakout | Salir_si_ADX_gira_bajista,ADX>45 → tendencia_madura_no_entrar | DI_minus>DI_plus → dirección_bajista_no_largo,8.0,300.0,500000.0,0.8,5.0,2026-08-01 00:00:00,TODOS,NIVEL,EXTENSION,1.0,2.0,MEDIO_1-4W,MEDIO,2026-07-01 00:00:00,2026-07-01 00:00:00,JJB,"TRADINGVIEW,YAHOO_FINANCE","ADX>30 = tendencia fuerte. ADX>45 = tendencia madura, mejor esperar pullback."
SCN-20260701-016,SC-01 BTC Movimiento Explosivo,1.0,BREAKOUT,CRYPTO,BREAKOUT,LONG,1D,4H,EN_PRUEBAS,ALTA,IA_ASISTIDA,Captura expansión explosiva en BTC cuando dominance >50% y squeeze resuelto con volumen alto.,Entrar en BTC al inicio de movimiento explosivo con dominance alta y squeeze técnico resuelto.,"BTC con dominance>50% + squeeze resuelto + RVOL>2.5 indica movimiento estructural, no ruido altcoin.","BTC_DOMINANCE,RVOL,BOLLINGER,MACD","RSI,VWAP,ATR,EMA200",SI,SI,SI,SI,SI,SI,SI,SI,BTC_dominance>50%_y_creciendo(+15pts) + squeeze_resuelto_1D(+20pts) + RVOL>2.5_vela_expansion(+20pts) + RSI_1D[55-70](+15pts) + precio>VWAP_semanal(+15pts) + MACD_1D_cruzando_positivo(+15pts) | SCORE>=80,Target 1: resistencia_previa | Target 2: ATH_anterior | Stop: minimo_squeeze,BTC_dominance<45% → usar_SC-02_altcoins | RSI>75 → esperar_pullback | mercado_broad_risk_off → reducir,0.0,999999.0,0.0,0.0,999.0,2026-05-02 00:00:00,CRIPTO_LAYER1,ATR,RESISTENCIA,1.0,2.0,SWING_1-5D,ALTO,2026-07-01 00:00:00,2026-07-01 00:00:00,JJB,"TRADINGVIEW,BINANCE_API",Universo: BTC y ETH únicamente. SOL como segunda línea si BTC dominance <48%.
SCN-20260701-017,SC-02 Altcoin Season Rotation,1.0,TREND_FOLLOWING,CRYPTO,TECHNICAL,LONG,1D,4H,PENDIENTE,MEDIA,IA_ASISTIDA,Rotación hacia altcoins de calidad cuando BTC consolida y dominance cae. ETH y SOL prioritarios.,Capturar outperformance de altcoins quality durante temporada altcoin con BTC dominance cayendo.,BTC dominance <48% + ETH/BTC subiendo = capital rotando a altcoins. Los de mayor capitalización primero.,"ETH_BTC_PAR,BTC_DOMINANCE,RSI,RVOL","EMA50,MACD,OBV,ATR",NO,SI,SI,NO,SI,SI,SI,SI,BTC_dominance<48%_o_cayendo(+10pts) + ETH_BTC_tendencia_alcista(+20pts) + altcoin_RSI<60(+15pts) + volumen_altcoin>media_20D(+15pts) + estructura_HH_HL_confirmada_1D(+20pts) + precio>EMA50_1D(+20pts) | SCORE>=75,Target: extension_1.5x | Stop: minimo_estructura_HL | Salir_si_BTC_dominance_sube_rapido,BTC_en_corrección_fuerte → NO_OPERAR_altcoins | altcoin_<top50_capitalización → mayor_riesgo,0.0,999999.0,0.0,0.0,999.0,2026-05-01 00:00:00,"CRIPTO_LAYER1,CRIPTO_DEFI",NIVEL,EXTENSION,1.0,2.0,SWING_1-5D,MUY_ALTO,2026-07-01 00:00:00,2026-07-01 00:00:00,JJB,"TRADINGVIEW,BINANCE_API","Universo: ETH, SOL. Ampliar a altcoins top 20 solo si la temporada está confirmada >2 semanas."
SCN-20260701-018,ST-16 Compresión en Tendencia,1.0,BREAKOUT,ACCIONES_US,SQUEEZE,LONG,4H,1D / 15M,EN_PRUEBAS,ALTA,IA_ASISTIDA,Precio comprimido en rango <2% durante >=6 velas 4H en tendencia alcista. Energía acumulada para siguiente impulso.,Detectar consolidaciones cortas dentro de tendencia antes del siguiente impulso alcista.,Compresión dentro de tendencia = acumulación. Precio dentro de 2% durante 6+ velas 4H = energía acumulada.,"ATR,EMA200,MACD,RVOL","RSI,OBV,ADX",SI,SI,SI,SI,SI,SI,SI,SI,1D: tendencia_alcista_EMA20>EMA50(+20pts) | 4H: precio_dentro_2pct_durante_6+_velas(+20pts) + MACD_4H_comprimiendose(+10pts) + precio>EMA200_1D(+15pts) | 15M: ruptura_rango_RVOL>2(+20pts) + precio>VWAP_15M(+15pts) | SCORE>=75,Target: medida_rango_proyectada + resistencia_previa | Stop: limite_inferior_rango_compresion,compresion_en_downtrend → no_operar | ADX<15 → mercado_muy_lateral_esperar,8.0,300.0,500000.0,0.8,4.0,2.0,"TECNOLOGIA,SALUD,INDUSTRIALES",NIVEL,EXTENSION,1.0,2.0,CORTO_5-30m,MEDIO,2026-07-01 00:00:00,2026-07-01 00:00:00,JJB,"TRADINGVIEW,YAHOO_FINANCE","Similar a ST-03 pero en 4H en lugar de 1D. Más frecuente, menor duración esperada."
SCN-20260701-019,ST-17 Estructura HH-HL Confirmada,1.0,TREND_FOLLOWING,ACCIONES_US,CONTINUATION,LONG,1D,4H,EN_PRUEBAS,MEDIA,IA_ASISTIDA,Detecta automáticamente estructura HH+HL confirmada en 1D con momentum creciente. Entrada en el HL.,Entrar en el Higher Low dentro de estructura HH-HL confirmada para capturar siguiente HH.,HH+HL en 1D con volumen creciente = tendencia alcista estructural. Entrar en HL = mejor RR.,"PIVOT_HIGHS,PIVOT_LOWS,RVOL,EMA20","MACD,RSI,OBV,ADX",SI,SI,SI,SI,SI,SI,SI,SI,3_pivots_HH_confirmados(+20pts) + 2_pivots_HL_confirmados(+20pts) + precio_en_zona_HL_actual(+15pts) + RVOL>1.5_en_rebote(+15pts) + OBV_subiendo(+15pts) + RSI>50(+15pts) | SCORE>=75,Target: siguiente_HH_proyectado | Stop: HL_anterior (invalidación estructura),estructura_LH_LL → no_operar_largo | OBV_bajista_en_HL → señal_de_debilidad,8.0,300.0,500000.0,0.8,5.0,2026-05-01 00:00:00,TODOS,NIVEL,NIVEL,1.0,2.0,SWING_1-5D,MEDIO,2026-07-01 00:00:00,2026-07-01 00:00:00,JJB,"TRADINGVIEW,YAHOO_FINANCE",Requiere Pine Script con detección automática de pivots. Implementar en backend Python con pandas.
SCN-20260701-020,ST-18 OBV Divergencia Alcista,1.0,MEAN_REVERSION,ACCIONES_US,REVERSAL,LONG,1D,4H,PENDIENTE,MEDIA,IA_ASISTIDA,OBV marcando nuevos máximos mientras el precio no los confirma. El dinero se mueve antes que el precio.,Detectar acumulación oculta institucional mediante divergencia alcista de OBV vs precio.,OBV en máximos con precio en mínimos/lateral = institucional comprando silenciosamente. El precio seguirá.,"OBV,EMA20,RSI","MACD,RVOL,ATR,ADX",NO,SI,SI,SI,SI,SI,SI,SI,OBV_en_nuevos_max_20D(+25pts) + precio_no_en_nuevos_max(+15pts) = divergencia_alcista + precio>EMA200(+15pts) + RSI[40-60](+15pts) + MACD_girando_positivo(+15pts) + RVOL_creciendo_3D(+15pts) | SCORE>=75,Target: maximo_OBV_proyectado / resistencia | Stop: minimo_divergencia,OBV_divergencia_en_downtrend_macro → reducir_tamaño_50% | fundamentales_negativos → no_operar,8.0,300.0,500000.0,0.5,5.0,2026-02-01 00:00:00,TODOS,NIVEL,RESISTENCIA,1.0,2.0,SWING_1-5D,MEDIO,2026-07-01 00:00:00,2026-07-01 00:00:00,JJB,"TRADINGVIEW,YAHOO_FINANCE",Señal de acumulación institucional más potente. Combinar con insider buying de OpenInsider para máxima convicción.
